net,code,time,latitude,longitude,mag,depth,nst,region,distance,direction
nc,72091196,"Sunday, October 20, 2013 06:02:39 UTC",38.7603,-122.8472,1.3,4.2,,"The Geysers, California",8km,WSW
nc,72091191,"Sunday, October 20, 2013 06:00:29 UTC",36.3077,-120.8717,2,4.7,,"King City, California",25km,ENE
nc,72091181,"Sunday, October 20, 2013 05:54:39 UTC",38.7882,-122.7273,0.9,2.6,,"The Geysers, California",2km,ENE
nc,72091176,"Sunday, October 20, 2013 05:53:56 UTC",38.8088,-122.8117,1.4,1.9,,"The Geysers, California",5km,NW
nc,72091171,"Sunday, October 20, 2013 05:53:34 UTC",38.7645,-122.847,1.2,4.5,,"The Geysers, California",8km,W
nc,72091166,"Sunday, October 20, 2013 05:50:37 UTC",38.7665,-122.8458,1,4.4,,"The Geysers, California",7km,W
nc,72091156,"Sunday, October 20, 2013 05:50:26 UTC",38.7622,-122.8452,1.5,4.3,,"The Geysers, California",7km,WSW
nc,72091161,"Sunday, October 20, 2013 05:49:25 UTC",38.7542,-122.7387,0.5,3.7,,"The Geysers, California",2km,SSE
us,b000khii,"Sunday, October 20, 2013 05:38:18 UTC",19.4923,-92.1161,4.2,13.93,,"Ciudad del Carmen, Mexico",99km,NNW
hv,60579686,"Sunday, October 20, 2013 05:25:41 UTC",19.9262,-156.1603,3,10.3,,"Kalaoa, Hawaii",28km,NW
ak,10827097,"Sunday, October 20, 2013 05:16:42 UTC",61.5695,-151.842,2.2,97,,"Willow, Alaska",97km,W
us,b000khic,"Sunday, October 20, 2013 05:11:21 UTC",27.2444,65.4902,4.3,10.15,,"Awaran, Pakistan",91km,NNE
ak,10827094,"Sunday, October 20, 2013 05:06:27 UTC",64.5041,-146.984,1.3,2.3,,"Salcha, Alaska",4km,WSW
ci,11381042,"Sunday, October 20, 2013 04:57:18 UTC",33.325,-116.3882,1.2,5.5,17,"Borrego Springs, California",7km,N
nn,00426804,"Sunday, October 20, 2013 04:40:52 UTC",39.3095,-119.9911,0.29,6.5886,11,"Incline Village, Nevada",6km,NNW
ak,10827086,"Sunday, October 20, 2013 04:21:15 UTC",62.2956,-148.7335,1.3,37.8,,"Sutton-Alpine, Alaska",55km,N
nc,72091131,"Sunday, October 20, 2013 04:20:42 UTC",38.8313,-122.8552,0.6,2.7,,"The Geysers, California",10km,NW
ci,11381034,"Sunday, October 20, 2013 04:15:36 UTC",33.7257,-116.7508,1,18.8,22,"Idyllwild-Pine Cove, California",3km,SW
us,b000khhb,"Sunday, October 20, 2013 04:01:55 UTC",-23.7335,179.0595,4.7,533.72,,South of the Fiji Islands,NA,NA
ci,11381026,"Sunday, October 20, 2013 03:53:49 UTC",33.5795,-116.7203,1.1,15,32,"Anza, California",5km,WNW
nc,72091111,"Sunday, October 20, 2013 03:52:56 UTC",38.7552,-122.723,0.5,2.6,,"The Geysers, California",3km,SE
ci,11381018,"Sunday, October 20, 2013 03:36:42 UTC",34.0455,-116.7682,1,13,24,"Cabazon, California",14km,N
uw,60614347,"Sunday, October 20, 2013 03:10:27 UTC",45.2885,-121.7615,0.7,6.9,,"Mount Hood Village, Oregon",18km,ESE
nc,72091101,"Sunday, October 20, 2013 02:32:51 UTC",37.5933,-118.8142,0.9,11,,"Mammoth Lakes, California",15km,ESE
ak,10827076,"Sunday, October 20, 2013 02:26:39 UTC",62.8856,-149.0884,0.4,40,,"Cantwell, Alaska",56km,S
nc,72091096,"Sunday, October 20, 2013 02:23:43 UTC",38.7888,-122.729,1.1,2.7,,"The Geysers, California",2km,ENE
nc,72091091,"Sunday, October 20, 2013 02:23:36 UTC",38.791,-122.7298,1.8,2.4,,"The Geysers, California",2km,ENE
nc,72091086,"Sunday, October 20, 2013 02:17:59 UTC",38.8425,-122.8297,0.9,2.5,,"Cobb, California",9km,WNW
nc,72091081,"Sunday, October 20, 2013 02:16:52 UTC",38.8438,-122.8283,0.7,2.2,,"Cobb, California",9km,WNW
nc,72091066,"Sunday, October 20, 2013 01:50:48 UTC",37.6518,-119.411,1.4,7.2,,"Yosemite Valley, California",17km,SE
us,b000khgz,"Sunday, October 20, 2013 01:45:35 UTC",9.8646,124.0282,4.9,20.22,,"Catigbian, Philippines",3km,ENE
nc,72091051,"Sunday, October 20, 2013 01:24:22 UTC",38.8433,-122.8392,0.5,2.6,,"Cobb, California",10km,WNW
ci,11381002,"Sunday, October 20, 2013 01:13:19 UTC",33.496,-116.4465,1.4,6.5,36,"La Quinta, California",22km,SW
uw,60614272,"Sunday, October 20, 2013 01:10:24 UTC",46.5963,-121.6133,1.6,3.5,,"Packwood, Washington",4km,ESE
nn,00426791,"Sunday, October 20, 2013 01:03:15 UTC",39.9956,-119.5283,0.85,11.2672,9,"Spanish Springs, Nevada",41km,NNE
nc,72091036,"Sunday, October 20, 2013 00:52:55 UTC",38.8135,-122.8235,0.6,5.1,,"The Geysers, California",7km,NW
ak,10827059,"Sunday, October 20, 2013 00:50:15 UTC",61.5135,-148.9898,0.6,34.8,,"Butte, Alaska",3km,SE
nc,72091026,"Sunday, October 20, 2013 00:35:18 UTC",38.7872,-122.7275,1.6,2.3,,"The Geysers, California",2km,ENE
us,b000khgc,"Sunday, October 20, 2013 00:29:42 UTC",-1.8545,100.392,4.6,65.5,,"Painan, Indonesia",59km,SSW
